* 48/12/20      Audition Show
  51/12/20  102 
  51/12/27  103 
  52/01/03  104 
  52/01/10  105 
  52/01/17  106 
  52/01/24  107 
  52/01/31  108 
  52/02/07  109 
  52/02/14  110 
  52/02/21  111 
  52/02/28  112 
  52/03/06  113 
  52/03/13  114 
  52/03/20  115 
  52/03/27  116 
  52/04/03  117 
  52/04/10  118 
* 52/04/17  119 New Washing Machine
  52/04/24  120 
  52/05/01  121 
  52/05/08  122 
* 52/05/15  123 Self Reliance
  52/05/22  124 
  52/05/29  125 
  52/06/05  126 
  52/06/12  127 
  52/06/19  128 
  52/06/26  129 
* 52/07/03  130 Vacation Arrives
  52/09/04  131 
* 52/09/11  132 Watching the Dog
* 52/09/18  133 Weekend Activity
* 52/09/25  134 Should Women Work
* 52/10/09  135 Betty and Crooner
* 52/10/16  136 Bud Quits School
  52/10/23  137 
* 52/10/30  138 Carnival in Town
* 52/11/06  139 Selling the House
* 52/11/13  140 The Missing Pipes
* 52/11/20  141 The Phantom Prowler
  52/11/27  142 
  52/12/04  143 
* 52/12/11  144 A Worried Waitress
* 52/12/18  145 The Kids Revolt
* 52/12/25  146 Shared Christmas Gifts
* 53/01/01  147 Southern Manners
* 53/01/08  148 Second Family Car
* 53/01/15  149 The Boy Next Door
  53/01/22  150 
* 53/01/29  151 Bud Dislikes Girls
* 53/02/05  152 Aunt Thelma Visits
* 53/02/12  153 Babysitting Miseries
* 53/02/19  154 Modernizing the Home
* 53/02/26  155 Banged up Fender
* 53/03/05  156 Overdue Vacation
* 53/03/12  157 To Build a Brick Wall
* 53/03/19  158 The Missing Wedding Ring
* 53/03/26  159 Uninsured Robin
* 53/04/02  160 Bud's Panama Cat Business Venture
* 53/04/09  161 How to Face Problems
* 53/04/16  162 Family Getaway to Beaver Falls
* 53/04/23  163 Old Father Time
* 53/04/30  164 Springtime Woes
* 53/05/07  165 The Good Old Days
* 53/05/14  166 Sophisticated Bud
* 53/05/21  167 Paper Drive Management
* 53/09/10  168 Remembering Names
* 53/09/17  169 Big Inheritance
* 53/09/24  170 Mind Your Manners
* 53/10/01  171 A Date Mix-Up with Leonard and Ralph and Betty
* 53/10/08  172 The Value of Money
* 53/10/15  173 The Life of the Party
* 53/10/22  174 Too Many Peanuts
* 53/10/29  175 Halloween Blues
* 53/11/05  176 Moving to Chicago
* 53/11/12  177 Betty's Engagement
* 53/11/19  178 Missing Uncle
* 53/11/26  179 Thanksgiving
* 53/12/03  180 Too Many Rabbits
  53/12/10  181 
  53/12/17  182 
* 53/12/24  183 Christmas Program
* 53/12/31  184 New Year's Sitter
* 54/01/07  185 Taking Pictures
* 54/01/14  186 An Unusual Bet
* 54/01/21  187 The Mink Coat Woes
* 54/01/28  188 Trash Can Lids
* 54/02/04  189 The Telephone Mix-Up
  54/02/11  190 
* 54/02/18  191 Betty's Freedom
* 54/02/25  192 Check Writing
* 54/03/04  193 Spring Cleaning
* 54/03/11  194 False Elopement
* 54/03/18  195 Income Tax Mix-Up
* 54/03/25  196 Rainy Day Activity
